id_attack	name	type_1	type_2	type_3	type_4	type_5	value	text
1	(-) Boost	4	10				20+	If Minun is on your Bench, this attack does 20 damage plus 20 more damage.
2	(+) Spark	4	10				20	If Plusle is on your Bench, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
3	3-D Attack	10					10×	Flip 3 coins. This attack does 10 damage times the number of heads.
4	3-D Attack	10	10				20×	Flip 3 coins. This attack does 20 damage times the number of heads.
5	3-Pronged Tail	10					10×	Flip 3 coins. This attack does 10 damage times the number of heads.
6	Absorb	10	10				20	Remove 2 damage counters from Carnivine.
7	Absorb	1	1	1	1		40	Remove a number of damage counters from Kabutops equal to half the damage done to Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.
8	Absorb	3					10	Heal 10 damage from this Pokémon.
9	Absorb	3	10				10	Heal 10 damage from this Pokémon.
10	Absorb	3	10				20	Heal 20 damage from this Pokémon.
11	Absorb	3	10				20	Remove 1 damage counter from Treecko.
12	Absorb	3	10				30	Remove 1 damage counter from Grotle.
13	Absorb	3	10				30	Remove 2 damage counters from Lileep.
14	Absorb	3	3				20	Remove a number of damage counters from Oddish equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Oddish has fewer damage counters than that, remove all of them.
15	Absorb	6	6				40	Remove 2 damage counters from Lombre.
16	Absorb	10	10				20	Heal 20 damage from this Pokémon.
17	Absorb	6	10				30	Heal 30 damage from this Pokémon.
18	Absorb Life	2	2	10			70	Heal 30 damage from this Pokémon.
19	Absorb Life	5	10				30	Heal 10 damage from this Pokémon.
20	Absorb Life	6	6	10			30	Heal 30 damage from this Pokémon.
21	Absorb Life	5					10	Heal 10 damage from this Pokémon.
22	Absorb Life	1	1	10	10		100	Heal 20 damage from this Pokémon.
23	Absorb Vitality	1	10	10	10		50	Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.
24	Absorb Vitality	7					20	Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.
25	Absorption-GX	1	1	1			40×	This attack does 40 damage for each of your remaining Prize cards. (You can't use more than 1 GX attack in a game.)
26	Abundant Harvest	1						Attach a basic Energy card from your discard pile to this Pokémon.
27	Abyssal Sleep	7	7	7	7		120	Your opponent's Active Pokémon is now Asleep. Your opponent flips 2 coins instead of 1 between turns. If either of them is tails, that Pokémon is still Asleep.
28	Accelerate	10	10				30	If the Defending Pokémon is Knocked Out by this attack, prevent all effects of an attack, including damage, done to Scizor during your opponent's next turn.
29	Accelerating Spin	10						Attach 2 Fighting Energy cards from your discard pile to this Pokémon. Then, switch this Pokémon with 1 of your Benched Pokémon.
30	Accelerating Stab	10	10				30	Doduo can't use Accelerating Stab during your next turn.
31	Accelerating Stab	10	10				90	This Pokémon can't use Accelerating Stab during your next turn.
32	Acceleration Bolt	4					30	Search your deck for up to 2 basic Energy cards and attach them to 1 of your Pokémon. Shuffle your deck afterward.
33	Accelerative Dive	10					30	Flip a coin. If tails, this attack does nothing. If heads, prevent all damage done to Staraptor by attacks (both yours and your opponent's) until the end of your next turn.
34	Accelerock	1	10	10			120	
35	Accelerock	1	1	10			100	
36	Accelerock	1	1	10			120	
37	Acid	10	10				20	
38	Acid	10	10				30	The Defending Pokémon can't retreat during your opponent's next turn.
39	Acid	3	10	10			40	The Defending Pokémon can't retreat during your opponent's next turn.
40	Acid	3	10	10			50	The Defending Pokémon can't retreat during your opponent's next turn.
41	Acid	3	10	10			50	The Defending Pokémon can't retreat until the end of your opponent's next turn.
42	Acid	3	3				20	Flip a coin. If heads, the Defending Pokémon can't retreat during your opponent's next turn.
43	Acid	5	10				30	The Defending Pokémon can't retreat during your opponent's next turn.
44	Acid	6					10	
45	Acid Spray	10					20	Flip a coin. If heads, discard an Energy attached to the Defending Pokémon.
46	Acid Spray	7					10	Flip a coin. If heads, discard an Energy attached to the Defending Pokémon.
47	Acid Spray	7	10	10			70	Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.
48	Acid Spray	5					10	Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.
49	Acid Spray	5	10	10			70	Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.
50	Acid Spray	10	10				60	Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.
51	Acidic Drain	3	10				30	The Defending Pokémon is now Burned and Poisoned. Remove 3 damage counters from Victreebel.
52	Acidic Poison	3	10				10	The Defending Pokémon is now Burned and Poisoned.
53	Acidic Poison	3	3	10	10		60	The Defending Pokémon is now Poisoned and Burned.
54	Acme of Heroism-GX	1	1	10			200	If this Pokémon has at least 1 extra Energy attached to it (in addition to this attack's cost), and if it would be Knocked Out by damage from an opponent's attack during their next turn, it is not Knocked Out, and its remaining HP becomes 10. (You can't use more than 1 GX attack in a game.)
55	Acrobatics	10					10+	Flip 2 coins. This attack does 10 more damage for each heads.
56	Acrobatics	10	10				10+	Flip 2 coins. This attack does 20 more damage for each heads.
57	Acrobatics	10	10				20+	Flip 2 coins. This attack does 20 more damage for each heads.
58	Acrobatics	1					20+	Flip 2 coins. This attack does 20 more damage for each heads.
59	Acrobatics	2					30+	Flip 2 coins. This attack does 30 more damage for each heads.
60	Acrobatics	3					10+	Flip 2 coins. This attack does 20 more damage for each heads.
61	Acrobatics	3					20+	Flip 2 coins. This attack does 30 more damage for each heads.
62	Act Cute	10						Your opponent puts a card from his or her hand on the bottom of his or her deck.
63	Act Tough	10					10+	If this Pokémon has any Darkness Energy attached to it, this attack does 20 more damage.
64	Act Tough	1					10+	If this Pokémon has any Darkness Energy attached to it, this attack does 30 more damage.
65	Adamantine Press	3	3	10	10		100	During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).
66	Adamantine Press	10					30	During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).
67	Adamantine Press	8	8	10			90	During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).
68	Add-a-Dash	6						Flip 2 coins. For each heads, draw a card.
69	Addictive Pollen	10	10	10			40	Flip a coin. If heads, your opponent can't play Supporter cards during his or her next turn.
70	Adrenalash	10	10	10			50	During your next turn, each of this Pokémon's attacks does 50 more damage (before applying Weakness and Resistance).
71	Advanced Armor	3	10					During your opponent's next turn, prevent all effects of attacks, including damage, done to Silcoon by your opponent's Evolved Pokémon.
72	Aerial Ace	10	10				10+	Flip a coin. If heads, this attack does 30 more damage.
73	Aerial Ace	10	10				20+	Flip a coin. If heads, this attack does 20 more damage.
74	Aerial Ace	10	10	10			60+	Flip a coin. If heads, this attack does 30 more damage.
75	Aerial Ace	5	10	10			50+	Flip a coin. If heads, this attack does 30 more damage.
76	Aerial Ace	8	10	10			60+	Flip a coin. If heads, this attack does 30 more damage.
77	Aerial Maneuvers	10	10	10	10		10+	Flip a coin. If heads, this attack does 10 damage plus 30 more damage, and, during your opponent's next turn, prevent all effects of attacks, including damage, done to Koga's Pidgeotto. If tails, this attack does 10 damage.
78	Aero Ball	10	10				20×	This attack does 20 damage times the amount of Energy attached to both Active Pokémon.
79	Aero Blitz	10					40	Search your deck for up to 2 cards and put them into your hand. Shuffle your deck afterward.
80	Aero Fall	10	10	10	10		140	Discard 2 Energy from this Pokémon.
81	Aero Turn	1					40	Return this Pokémon and all cards attached to it to your hand.
82	Aero Unit-GX	5						Attach 5 basic Energy cards from your discard pile to your Pokémon in any way you like. If this Pokémon has at least 1 extra Energy attached to it (in addition to this attack's cost), prevent all effects of attacks, including damage, done to it during your opponent's next turn. (You can't use more than 1 GX attack in a game.)
83	Aeroblast	10	10	10			20+	Flip 2 coins. This attack does 20 damage plus 20 more damage for each heads.
84	Aerowing	10	10	10	10			You may flip a coin. If heads, this attack does 80 damage. If tails, this attack does nothing.
85	Afterimage Assault	3	10				30	Search your deck for up to 2 Ninjask and put them onto your Bench. Shuffle your deck afterward.
86	Afterimage Strike	10	10				20	During your opponent's next turn, if Scyther would be damaged by an attack, flip a coin. If heads, prevent that attack's damage done to Scyther.
87	Afterimage Strike	3	10				40	If any damage is done to this Pokémon by attacks during your opponent's next turn, flip a coin. If heads, prevent that damage.
88	Afterimage Strike	10					20	If any damage is done to this Pokémon by attacks during your opponent's next turn, flip a coin. If heads, prevent that damage.
89	Aftermath	5	10				20+	Does 20 damage plus 10 more damage for each Pokémon Tool card in your discard pile. You can't add more than 60 damage in this way.
90	Afternoon Nap	10						Search your deck for a Energy card and attach it to Slowpoke. Shuffle your deck afterward.
91	Agility	10						Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.
92	Agility	10					20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Raichu during your opponent's next turn.
93	Agility	10					20	Flip a coin. If heads, prevent all effects of attacks, including damage, done to Jolteon during your opponent's next turn.
94	Agility	10	10				10	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Girafarig.
95	Agility	10	10				10	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Rapidash.
96	Agility	10	10				10	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
97	Agility	10	10				20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Floatzel during your opponent's next turn.
98	Agility	10	10				20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Metang during your opponent's next turn.
99	Agility	10	10				20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Salamence during your opponent's next turn.
100	Agility	10	10				20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Scyther during your opponent's next turn.
101	Agility	10	10				20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Seadra during your opponent's next turn.
102	Agility	10	10				30	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
103	Agility	10	10	10			20	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Fearow.
104	Agility	2					10	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
105	Agility	2					20	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
106	Agility	2	10				20	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Blaine's Ponyta.
107	Agility	2	10				20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Ponyta during your opponent's next turn.
108	Agility	2	10				30	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Swellow during your opponent's next turn.
109	Agility	2	2	10			30	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Rapidash.
110	Agility	3					10	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Scyther ex during your opponent's next turn.
111	Agility	3					10	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Surskit during your opponent's next turn.
112	Agility	3	10				10	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Scyther.
113	Agility	3	10	10			40	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
114	Agility	3	3				20	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Yanma during your opponent's next turn.
115	Agility	4					10	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
116	Agility	4	10				30	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Dragonite during your opponent's next turn.
