id_diamond_and_pearl_pokedex	id_national_index	pokemon_name	id_pokedex_type_1	id_pokedex_type_2
#001	1	Bulbasaur	11	15
#002	2	Ivysaur	11	15
#003	3	Venusaur	11	15
#004	4	Charmander	8	
#005	5	Charmeleon	8	
#006	6	Charizard	8	9
#007	7	Squirtle	19	
#008	8	Wartortle	19	
#009	9	Blastoise	19	
#010	10	Caterpie	2	
#011	11	Metapod	2	
#012	12	Butterfree	2	
#013	13	Weedle	2	15
#014	14	Kakuna	2	15
#015	15	Beedrill	2	15
#016	16	Pidgey	14	9
#017	17	Pidgeotto	14	9
#018	18	Pidgeot	14	9
#019	19	Rattata	14	
#020	20	Raticate	14	
#021	21	Spearow	14	9
#022	22	Fearow	14	9
#023	23	Ekans	15	
#024	24	Arbok	15	
#025	172	Pichu	5	
#026	25	Pikachu	5	
#027	26	Raichu	5	
#028	27	Sandshrew	12	
#029	28	Sandslash	12	
#030	29	Nidoran♀	15	
#031	30	Nidorina	15	
#032	31	Nidoqueen	15	12
#033	32	Nidoran♂	15	
#034	33	Nidorino	15	
#035	34	Nidoking	15	12
#036	173	Cleffa	14	
#037	35	Clefairy	14	
#038	36	Clefable	14	
#039	37	Vulpix	8	
#040	38	Ninetales	8	
#041	174	Igglybuff	14	
#042	39	Jigglypuff	14	
#043	40	Wigglytuff	14	
#044	41	Zubat	15	9
#045	42	Golbat	15	9
#046	169	Crobat	15	9
#047	43	Oddish	11	15
#048	44	Gloom	11	15
#049	45	Vileplume	11	15
#050	182	Bellossom	11	
#051	46	Paras	2	11
#052	47	Parasect	2	11
#053	48	Venonat	2	15
#054	49	Venomoth	2	15
#055	50	Diglett	12	
#056	51	Dugtrio	12	
#057	52	Meowth	14	
#058	53	Persian	14	
#059	54	Psyduck	19	
#060	55	Golduck	19	
#061	56	Mankey	7	
#062	57	Primeape	7	
#063	58	Growlithe	8	
#064	59	Arcanine	8	
#065	60	Poliwag	19	
#066	61	Poliwhirl	19	
#067	62	Poliwrath	19	7
#068	186	Politoed	19	
#069	63	Abra	16	
#070	64	Kadabra	16	
#071	65	Alakazam	16	
#072	66	Machop	7	
#073	67	Machoke	7	
