id_energy_card	card_number	card_number_special	id_rarity	id_energy	id_energy_special	id_set	id_extended_attributes_lookup	artist	text	additionalRule1	Holofoil	Promo	Fixed	Shining	Secret Count	Series Crossover	special_pokemon_types	Full Art	Gold Star	Regular Art	special_pokemon	Prism
1	96		2	10	1	1		3	Provides energy. Doesn't count as a basic energy card.													
2	97		1	1		1		3														
3	98		1	2		1		3														
4	99		1	3		1		3														
5	100		1	4		1		3														
6	101		1	5		1		3														
7	102		1	6		1		3														
8	124		2	10	1	4		3	Provides energy. Doesn't count as a basic energy card.													
9	125		1	1		4		3														
10	126		1	2		4		3														
11	127		1	3		4		3														
12	128		1	4		4		3														
13	129		1	5		4		3														
14	130		1	6		4		3														
15	81		2	12	2	5		3	If you play this card from your hand, the Pokémon you attach it to is no longer Asleep, Confused, Paralyzed, or Poisoned. Full Heal Energy Provides energy. (Doesn't count as a basic Energy card.)													
16	82		2	12	3	5		3	If you play this card from your hand, remove 1 damage counter from the Pokémon you attach it to, if it has any. Potion Energy provides energy. (Doesn't count as a basic Energy card.)													
17	17		3	12	1	5	1	7	Attach Rainbow Energy to 1 of your Pokémon. While in play, Rainbow Energy counts as every type of basic Energy but only provides 1 Energy at a time. (Doesn't count as a basic Energy card when not in play.) When you attach this card from your hand to 1 of your Pokémon, it does 10 damage to that Pokémon. (Don't apply Weakness and Resistance.) (Major text change in Ruby/Sapphire. Requires reference.)		1											
18	80		3	12	4	5		7	Attach Rainbow Energy to 1 of your Pokémon. While in play, Rainbow Energy counts as every type of basic Energy but only provides 1 Energy at a time. (Doesn't count as a basic Energy card when not in play.) When you attach this card from your hand to 1 of your Pokémon, it does 10 damage to that Pokémon. (Don't apply Weakness and Resistance.) (Major text change in Ruby/Sapphire. Requires reference.)													
19	127		1	1		6		3														
20	128		1	2		6		3														
21	129		1	3		6		3														
22	130		1	4		6		3														
23	131		1	5		6		3														
24	132		1	6		6		3														
25	127		1	1		7		3														
26	128		1	2		7		3														
27	129		1	3		7		3														
28	130		1	4		7		3														
29	131		1	5		7		3														
30	132		1	6		7		3														
31	106		1	1		8		3														
32	107		1	2		8		3														
33	108		1	3		8		3														
34	109		1	4		8		3														
35	110		1	5		8		3														
36	111		1	6		8		3														
37	19		3	12	6	8	1	27	Damage done to Pokémon Metal Energy is attached to is reduced by 10 (after applying Weakness and Resistance). If the Pokémon Metal Energy is attached to isn't , whenever it damages a Pokémon, reduce that damage by 10 (before applying Weakness and Resistance). Metal Energy provides Energy. (Doesn't count as a basic Energy card.)		1											
