id_pokedex	id_pokemon_region	region_number	national_index	alternative_name	name	id_pokedex_type_1	id_pokedex_type_2	id_generation
1	1	1	1	Bulbasaur	Bulbasaur	11	15	1
2	1	2	2	Ivysaur	Ivysaur	11	15	1
3	1	3	3	Venusaur	Venusaur	11	15	1
4	1	4	4	Charmander	Charmander	8		1
5	1	5	5	Charmeleon	Charmeleon	8		1
6	1	6	6	Charizard	Charizard	8	9	1
7	1	7	7	Squirtle	Squirtle	19		1
8	1	8	8	Wartortle	Wartortle	19		1
9	1	9	9	Blastoise	Blastoise	19		1
10	1	10	10	Caterpie	Caterpie	2		1
11	1	11	11	Metapod	Metapod	2		1
12	1	12	12	Butterfree	Butterfree	2	9	1
13	1	13	13	Weedle	Weedle	2	15	1
14	1	14	14	Kakuna	Kakuna	2	15	1
15	1	15	15	Beedrill	Beedrill	2	15	1
16	1	16	16	Pidgey	Pidgey	14	9	1
17	1	17	17	Pidgeotto	Pidgeotto	14	9	1
18	1	18	18	Pidgeot	Pidgeot	14	9	1
19	1	19	19	Rattata	Rattata	14		1
20	1	-1	19	Alolan Rattata	Rattata	3	14	1
21	1	20	20	Raticate	Raticate	14		1
22	1	-1	20	Alolan Raticate	Raticate	3	14	1
23	1	21	21	Spearow	Spearow	14	9	1
24	1	22	22	Fearow	Fearow	14	9	1
25	1	23	23	Ekans	Ekans	15		1
26	1	24	24	Arbok	Arbok	15		1
27	1	25	25	Pikachu	Pikachu	5		1
28	1	26	26	Raichu	Raichu	5		1
29	1	-1	26	Alolan Raichu	Raichu	5	16	1
30	1	27	27	Sandshrew	Sandshrew	12		1
31	1	-1	27	Alolan Sandshrew	Sandshrew	13	18	1
32	1	28	28	Sandslash	Sandslash	12		1
33	1	-1	28	Alolan Sandslash	Sandslash	13	18	1
34	1	29	29	Nidoran♀	Nidoran♀	15		1
35	1	30	30	Nidorina	Nidorina	15		1
36	1	31	31	Nidoqueen	Nidoqueen	15	12	1
37	1	32	32	Nidoran♂	Nidoran♂	15		1
38	1	33	33	Nidorino	Nidorino	15		1
39	1	34	34	Nidoking	Nidoking	15	12	1
40	1	35	35	Clefairy	Clefairy	6		1
41	1	36	36	Clefable	Clefable	6		1
42	1	37	37	Vulpix	Vulpix	8		1
43	1	-1	37	Alolan Vulpix	Vulpix	13		1
44	1	38	38	Ninetales	Ninetales	8		1
45	1	-1	38	Alolan Ninetales	Ninetales	13	6	1
46	1	39	39	Jigglypuff	Jigglypuff	14	6	1
47	1	40	40	Wigglytuff	Wigglytuff	14	6	1
48	1	41	41	Zubat	Zubat	15	9	1
49	1	42	42	Golbat	Golbat	15	9	1
50	1	43	43	Oddish	Oddish	11	15	1
51	1	44	44	Gloom	Gloom	11	15	1
52	1	45	45	Vileplume	Vileplume	11	15	1
53	1	46	46	Paras	Paras	2	11	1
54	1	47	47	Parasect	Parasect	2	11	1
55	1	48	48	Venonat	Venonat	2	15	1
56	1	49	49	Venomoth	Venomoth	2	15	1
57	1	50	50	Diglett	Diglett	12		1
58	1	-1	50	Alolan Diglett	Diglett	12	18	1
59	1	51	51	Dugtrio	Dugtrio	12		1
60	1	-1	51	Alolan Dugtrio	Dugtrio	12	18	1
61	1	52	52	Meowth	Meowth	14		1
62	1	-1	52	Alolan Meowth	Meowth	3		1
63	1	53	53	Persian	Persian	14		1
64	1	-1	53	Alolan Persian	Persian	3		1
65	1	54	54	Psyduck	Psyduck	19		1
66	1	55	55	Golduck	Golduck	19		1
67	1	56	56	Mankey	Mankey	7		1
68	1	57	57	Primeape	Primeape	7		1
69	1	58	58	Growlithe	Growlithe	8		1
70	1	59	59	Arcanine	Arcanine	8		1
71	1	60	60	Poliwag	Poliwag	19		1
72	1	61	61	Poliwhirl	Poliwhirl	19		1
73	1	62	62	Poliwrath	Poliwrath	19	7	1
74	1	63	63	Abra	Abra	16		1
75	1	64	64	Kadabra	Kadabra	16		1
76	1	65	65	Alakazam	Alakazam	16		1
77	1	66	66	Machop	Machop	7		1
78	1	67	67	Machoke	Machoke	7		1
79	1	68	68	Machamp	Machamp	7		1
80	1	69	69	Bellsprout	Bellsprout	11	15	1
81	1	70	70	Weepinbell	Weepinbell	11	15	1
82	1	71	71	Victreebel	Victreebel	11	15	1
83	1	72	72	Tentacool	Tentacool	19	15	1
84	1	73	73	Tentacruel	Tentacruel	19	15	1
85	1	74	74	Geodude	Geodude	17	12	1
86	1	-1	74	Alolan Geodude	Geodude	17	5	1
87	1	75	75	Graveler	Graveler	17	12	1
88	1	-1	75	Alolan Graveler	Graveler	17	5	1
89	1	76	76	Golem	Golem	17	12	1
90	1	-1	76	Alolan Golem	Golem	17	5	1
91	1	77	77	Ponyta	Ponyta	8		1
92	1	78	78	Rapidash	Rapidash	8		1
93	1	79	79	Slowpoke	Slowpoke	19	16	1
94	1	80	80	Slowbro	Slowbro	19	16	1
95	1	81	81	Magnemite	Magnemite	5	18	1
96	1	82	82	Magneton	Magneton	5	18	1
97	1	83	83	Farfetch'd	Farfetch'd	14	9	1
98	1	84	84	Doduo	Doduo	14	9	1
99	1	85	85	Dodrio	Dodrio	14	9	1
100	1	86	86	Seel	Seel	19		1
101	1	87	87	Dewgong	Dewgong	19	13	1
102	1	88	88	Grimer	Grimer	15		1
103	1	-1	88	Alolan Grimer	Grimer	15	3	1
104	1	89	89	Muk	Muk	15		1
105	1	-1	89	Alolan Muk	Muk	15	3	1
106	1	90	90	Shellder	Shellder	19		1
107	1	91	91	Cloyster	Cloyster	19	13	1
108	1	92	92	Gastly	Gastly	10	15	1
109	1	93	93	Haunter	Haunter	10	15	1
110	1	94	94	Gengar	Gengar	10	15	1
111	1	95	95	Onix	Onix	17	12	1
112	1	96	96	Drowzee	Drowzee	16		1
113	1	97	97	Hypno	Hypno	16		1
114	1	98	98	Krabby	Krabby	19		1
115	1	99	99	Kingler	Kingler	19		1
116	1	100	100	Voltorb	Voltorb	5		1
117	1	101	101	Electrode	Electrode	5		1
118	1	102	102	Exeggcute	Exeggcute	11	16	1
119	1	103	103	Exeggutor	Exeggutor	11	16	1
120	1	-1	103	Alolan Exeggutor	Exeggutor	11	4	1
121	1	104	104	Cubone	Cubone	12		1
122	1	105	105	Marowak	Marowak	12		1
123	1	-1	105	Alolan Marowak	Marowak	8	10	1
124	1	106	106	Hitmonlee	Hitmonlee	7		1
125	1	107	107	Hitmonchan	Hitmonchan	7		1
126	1	108	108	Lickitung	Lickitung	14		1
127	1	109	109	Koffing	Koffing	15		1
128	1	110	110	Weezing	Weezing	15		1
129	1	-1	110	Galarian Weezing	Weezing	15	6	1
130	1	111	111	Rhyhorn	Rhyhorn	12	17	1
131	1	112	112	Rhydon	Rhydon	12	17	1
132	1	113	113	Chansey	Chansey	14		1
133	1	114	114	Tangela	Tangela	11		1
134	1	115	115	Kangaskhan	Kangaskhan	14		1
135	1	116	116	Horsea	Horsea	19		1
136	1	117	117	Seadra	Seadra	19		1
137	1	118	118	Goldeen	Goldeen	19		1
138	1	119	119	Seaking	Seaking	19		1
139	1	120	120	Staryu	Staryu	19		1
140	1	121	121	Starmie	Starmie	19	16	1
141	1	122	122	Mr. Mime	Mr. Mime	16	6	1
142	1	123	123	Scyther	Scyther	2	9	1
143	1	124	124	Jynx	Jynx	13	16	1
144	1	125	125	Electabuzz	Electabuzz	5		1
145	1	126	126	Magmar	Magmar	8		1
146	1	127	127	Pinsir	Pinsir	2		1
147	1	128	128	Tauros	Tauros	14		1
148	1	129	129	Magikarp	Magikarp	19		1
149	1	130	130	Gyarados	Gyarados	19	9	1
150	1	131	131	Lapras	Lapras	19	13	1
151	1	132	132	Ditto	Ditto	14		1
152	1	133	133	Eevee	Eevee	14		1
153	1	134	134	Vaporeon	Vaporeon	19		1
154	1	135	135	Jolteon	Jolteon	5		1
