id_trainer_card	card_name	card_number	card_number_special	id_rarity	id_trainer_type	id_trainer_category	id_set	card_text	id_artist	id_attack	id_action	hp	card_rule_1	ace_spec_rule_1	tool_rule_1	prism_rule_1	holofoil	promo	fixed	shining	secret	series_crossover	id_special_pokemon_type	full_art	gold_art	regular_art	id_special_pokemon
1	Clefairy Doll	70		3	114	1	1	Play Clefairy Doll as if it were a Basic Pokémon. While in play, Clefairy Doll counts as a Pokémon (instead of a Trainer card.) Clefairy Doll has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn't count as a Knock Out Pokémon. At any time during tyour turn before your attack, you may discard Clefairy Doll.	3			10															
2	Computer Search	71		3	119	1	1	Discard 2 other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.	3																		
3	Devolution Spray	72		3	154	1	1	Choose 1 of your own Pokémon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokémon. That Pokémon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).	3																		
4	Imposter Professor Oak	73		3	333	1	1	Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.	1																		
5	Item Finder	74		3	341	1	1	Discard 2 other cards from your hand in order to put a Trainer card from your discard pile into your hand.	3																		
6	Lass	75		3	362	1	1	You and your opponent show each other your hands, then shuffle all the trainer cards from your hands into your decks.	1																		
7	Pokémon Breeder	76		3	517	1	1	Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.	1																		
8	Pokémon Trader	77		3	537	1	1	Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.	1																		
9	Scoop Up	78		3	623	1	1	Choose 1 of your own Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.)	3																		
10	Super Energy Removal	79		3	671	1	1	Discard 1 Energy card attached to 1 of your own Pokémon in order to choose 1 of your opponent's Pokémon and up to 2 Energy cards attached to it. Discard those energy cards.	3																		
11	Defender	80		2	149	1	1	Attach Defender to 1 of your Pokémon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance.)	3																		
12	Energy Retrieval	81		2	193	1	1	Trade 1 of other cards in your hand for up to 2 basic Energy cards from your discard pile.	3																		
13	Full Heal	82		2	259	1	1	Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.	3																		
14	Maintenance	83		2	405	1	1	Shuffle 2 of the other cards from your hand into your deck in order to draw a card.	3																		
