id_trainer_card_types	name
1	Aaron's Collection
2	Ace Trainer
3	Acerola
4	Acro Bike
5	Adventure Bag
6	Aerodactyl Spirit Link
7	Aether Foundation Employee
8	Aether Paradise Conservation Area
9	Aggron Spirit Link
10	Alakazam Spirit Link
11	All-Night Party
12	Alph Lithograph
13	Altar of the Moone
14	Altar of the Sunne
15	Altaria Spirit Link
16	Ampharos Spirit Link
17	Amulet Coin
18	Ancient Crystal
19	Ancient Ruins
20	Ancient Technical Machine [Ice]
21	Ancient Technical Machine [Rock]
22	Ancient Technical Machine [Steel]
23	Ancient Tomb
24	Apricorn Forest
25	Apricorn Maker
26	Aqua Diffuser
27	Aqua Patch
28	Arcade Game
29	Archie
30	Archie's Ace in the Hole
31	Armor Fossil
32	Armor Fossil Shieldon
33	Aspertia City Gym
34	Assault Vest
35	Audino Spirit Link
36	AZ
37	Balloon Berry
38	Battle City
39	Battle Compressor
40	Battle Frontier
41	Battle Reporter
42	Battle Tower
43	Beast Ball
44	Beast Ring
45	Bebe's Search
46	Beedrill Spirit Link
47	Beginning Door
48	Bench Shield
49	Bent Spoon
50	Berry
51	Bertha's Warmth
52	Bianca
53	Bicycle
54	Big Malasada
55	Bill
56	Bill's Analysis
57	Bill's Maintenance
58	Bill's Teleporter
59	Black Belt
60	Black Market
61	Blacksmith
62	Blaine
63	Blaine's Gamble
64	Blaine's Last Resort
65	Blaine's Last Stand
66	Blaine's Quiz #1
67	Blaine's Quiz #2
68	Blaine's Quiz #3
69	Blastoise Spirit Link
70	Bodybuilding Dumbbells
71	Bonnie
72	Brigette
73	Brock
74	Brock's Grit
75	Brock's Protection
76	Brock's Training Method
77	Broken Ground Gym
78	Broken Time-Space
79	Brooklet Hill
80	Bubble Coat
81	Buck's Training
82	Buddy-Buddy Rescue
83	Buff Padding
84	Buffer Piece
85	Burned Tower
86	Bursting Balloon
87	Caitlin
88	Camerupt Spirit Link
89	Captivating Poké Puff
90	Card-Flip Game
91	Cassius
92	Castaway
93	Cedric Juniper
94	Celadon City Gym
95	Celio's Network
96	Cerulean City Gym
97	Cessation Crystal
98	Challenge!
99	Champion's Room
100	Champions Festival
101	Championship Arena
102	Chaos Gym
103	Chaos Tower
104	Charity
105	Charizard Spirit Link
106	Cheerleader's Cheer
107	Cheren
108	Choice Band
109	Choice Helmet
110	Cilan
111	Cinnabar City Gym
112	Claw Fossil
113	Claw Fossil Anorith
114	Clefairy Doll
115	Clemont
116	Colress
117	Colress Machine
118	Computer Error
119	Computer Search
120	Conductive Quarry
121	Copycat
122	Counter Catcher
123	Counter Gain
124	Counterattack Claws
125	Cover Fossil
126	Crasher Wake
127	Crushing Hammer
128	Crystal Beach
129	Crystal Edge
130	Crystal Shard
131	Crystal Wall
132	Curse Powder
133	Cursed Stone
134	Custom Catcher
135	Cynthia
136	Cynthia's Feelings
137	Cynthia's Guidance
138	Cyrus
139	Cyrus's Conspiracy
140	Cyrus's Initiative
141	Damage Mover
142	Dana
143	Dangerous Drill
144	Dark Claw
145	Dark Patch
146	Darkness Cube 01
147	Dashing Pouch
148	Dawn Stadium
149	Defender
150	Delinquent
151	Department Store Girl
152	Desert Ruins
153	Desert Shaman
154	Devolution Spray
155	Devoured Field
156	Diantha
157	Digger
158	Dimension Valley
159	Dive Ball
160	Dome Fossil
161	Dome Fossil Kabuto
162	Double Full Heal
163	Double Gust
164	Dowsing Machine
165	Dragon Talon
166	Drake's Stadium
167	Dual Ball
168	Dusk Ball
169	Eco Arm
170	Ecogym
171	Electric Memory
172	Electrocharger
173	Electropower
174	Elesa
175	Emcee's Chatter
176	Eneporter
177	Energy Amplifier
178	Energy Ark
179	Energy Charge
180	Energy Exchanger
181	Energy Flow
182	Energy Link
183	Energy Loto
184	Energy Pickup
185	Energy Pouch
186	Energy Recycle
187	Energy Recycle System
188	Energy Recycler
189	Energy Removal
190	Energy Removal 2
191	Energy Reset
192	Energy Restore
193	Energy Retrieval
194	Energy Returner
195	Energy Root
196	Energy Search
197	Energy Stadium
198	Energy Switch
199	Engineer's Adjustments
200	Enhanced Hammer
201	Erika
202	Erika's Hospitality
203	Erika's Kindness
204	Erika's Maids
205	Erika's Perfume
206	Escape Board
207	Escape Rope
208	Escpae Rope
209	Ether
210	Evelyn
211	Eviolite
212	Evosoda
213	Exp. Share
214	EXP.ALL
215	Expert Belt
216	Faba
217	Faded Town
218	Fairy Charm Dragon
219	Fairy Charm Fire
220	Fairy Charm Grass
221	Fairy Charm Psychic
222	Fairy Charm UB
223	Fairy Drop
224	Fairy Garden
225	Fast Ball
226	Felicity's Drawing
227	Fervor
228	Field Blower
229	Fieldworker
230	Fiery Flint
231	Fiery Torch
232	Fighting Cube 01
233	Fighting Fury Belt
234	Fighting Memory
235	Fighting Stadium
236	Fire Cube 01
237	Fire Memory
238	First Ticket
239	Fisherman
240	Flint's Willpower
241	Float Stone
242	Floral Crown
243	Flower Shop Lady
244	Fluffy Berry
245	Focus Band
246	Focus Sash
247	Forest Guardian
248	Forest of Giant Plants
249	Fossil Egg
250	Fossil Excavation Kit
251	Fossil Excavation Map
252	Fossil Excavator
253	Fossil Researcher
254	Fresh Water Set
255	Friend Ball
256	Frozen City
257	Fuchsia City Gym
258	Full Flame
259	Full Heal
260	G Booster
261	G Scope
262	Galactic HQ
263	Gallade Spirit Link
264	Gambler
265	Garchomp Spirit Link
266	Gardenia
267	Gardevoir Spirit Link
268	Gengar Spirit Link
269	Ghetsis
270	Giant Cape
271	Giant Stump
272	Giovanni
273	Giovanni's Last Resort
274	Giovanni's Scheme
275	Glacia's Stadium
276	Gladion
277	Glalie Spirit Link
278	Gold Berry
279	Gold Potion
280	Good Manners
281	Good Rod
282	Goop Gas Attack
283	Grass Cube 01
284	Grass Memory
285	Great Ball
286	Greedy Dice
287	Groudon Spirit Link
288	Gust of Wind
289	Guzma
290	Gyarados Spirit Link
291	Gym Badge
292	Hala
293	Hand Scope
294	Hard Charm
295	Hau
296	Head Ringer
297	Heal Powder
298	Healing Berry
299	Healing Field
300	Healing Scarf
301	Heat Factory
