id_weakness_lookup	id_type	value   multiplier
1	10	2   1
2	10	30  0
3	10	20  0
4	10	10  0
5	7	2   1
6	7	30  0
7	7	20  0
8	7	10  0
9	11	2   1
10	9	2   1
11	1	2   1
12	1	20  0
13	1	30  0
14	1	10  0
15	2	2   1
16	2	20  0
17	2	30  0
18	2	10  0
19	2	40  0
20	3	2   1
21	3	10  0
22	3	20  0
23	3	30  0
24	4	2   1
25	4	30  0
26	4	20  0
27	4	10  0
28	8	2   1
29	8	20  0
30	8	30  0
31	8	10  0
32	8	40  0
33	5	2   1
34	5	20  0
35	5	30  0
36	5	10  0
37	5	40  0
38	6	2   1
39	6	30  0
40	6	20  0
41	6	10  0
42	6	40  0
